Brand,Manufacturer,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugar,Potassium
Apple Cinnamon Cheerios,G,110,2,2,180,1.5,10.5,10,70
Cheerios,G,110,6,2,290,2.0,17.0,1,105
Cocoa Puffs,G,110,1,1,180,0.0,12.0,13,55
Count Chocula,G,110,1,1,180,0.0,12.0,13,65
Golden Grahams,G,110,1,1,280,0.0,15.0,9,45
Honey Nut Cheerios,G,110,3,1,250,1.5,11.5,10,90
Kix,G,110,2,1,260,0.0,21.0,3,40
Lucky Charms,G,110,2,1,180,0.0,12.0,12,55
Multi Grain Cheerios,G,100,2,1,220,2.0,15.0,6,90
Oatmeal Raisin Crisp,G,130,3,2,170,1.5,13.5,10,120
Raisin Nut Bran,G,100,3,2,140,2.5,10..5,8,140
Total Corn Flakes,G,110,2,1,200,0.0,21.0,3,35
Total Raisin Bran,G,140,3,1,190,4.0,15.0,14,230
Total Whole Grain,G,100,3,1,200,3.0,16.0,3,110
Trix,G,110,1,1,140,0.0,13.0,12,25
Cheaties,G,100,3,1,200,3.0,17.0,3,110
Wheaties Honey Gold,G,110,2,1,200,1.0,16.0,8,60
AllBran,K,70,4,1,260,9.0,7.0,5,320
Apple Jacks,K,110,2,0,125,1.0,11.0,14,30
Corn Flakes,K,100,2,0,290,1.0,21.0,2,35
Corn Pops,K,110,1,0,90,1.0,13.0,12,20
Cracklin Oat Bran,K,110,3,3,140,4.0,10.0,7,160
Crispix,K,110,2,0,220,1.0,21.0,3,30
Froot Loops,K,110,2,1,125,1.0,11.0,13,30
Frosted Flakes,K,110,1,0,200,1.0,14.0,11,25
Frosted Mini Wheats,K,100,3,0,0,3.0,14.0,7,100
Fruitful Bran,K,120,3,0,240,5.0,14.0,12,190
Just Right Crunchy Nuggets,K,110,2,1,170,1.0,17.0,6,60
Mueslix Crispy Blend,K,160,3,2,150,3.0,17.0,13,160
Nut & Honey Crunch,K,120,2,1,190,0.0,15.0,9,40
Nutri-grain Almond Raisin,K,140,3,2,220,3.0,21.0,7,130
Nutri-grain Wheat,K,90,3,0,170,3.0,18.0,2,90
Product 19,K,100,3,0,320,1.0,20.0,3,45
Raisin Bran,K,120,3,1,210,5.0,14.0,12,240
Rice Krispies,K,110,2,0,290,0.0,22.0,3,35
Smacks,K,110,2,1,70,1.0,9.0,15,40
Special K,K,110,6,0,230,1.0,16.0,3,55
Cap'n'Crunch,Q,120,1,2,220,0.0,12.0,12,35
Honey Graham Ohs,Q,120,1,2,220,1.0,12.0,11,45
Life,Q,100,4,2,150,2.0,12.0,6,95
Puffed Rice,Q,50,1,0,0,0.0,13.0,0,15
Puffed Wheat,Q,50,2,0,0,1.0,10.0,0,50
Quaker Oatmeal,Q,100,5,2,0,2.7,1.0,1,110
